version,scaling,frac,n_train,n_test,k,p,threads,workers,accuracy,t_total,t_compute,t_comm,flops
hybrid,strong,0.25,359,90,3,1,1,1,0.9333333333333333,0.04039899999999996,0.04006500000000002,0.00019000000000002348,6235830.0
hybrid,strong,0.5,718,180,3,1,1,1,0.9666666666666667,0.15962500000000002,0.15927000000000002,0.00022900000000003473,24943320.0
hybrid,strong,0.75,1077,270,3,1,1,1,0.9740740740740741,0.3608309999999999,0.3602989999999999,0.0003450000000000397,56122470.0
hybrid,strong,1.0,1437,360,3,1,1,1,0.9861111111111112,0.636147,0.634878,0.0010260000000001934,99842760.0
hybrid,strong,0.25,359,90,3,1,2,2,0.9333333333333333,0.11898399999999998,0.11863099999999993,0.00018700000000004824,6235830.0
hybrid,strong,0.5,718,180,3,1,2,2,0.9666666666666667,0.4036369999999999,0.40327100000000005,0.0002630000000000132,24943320.0
hybrid,strong,0.75,1077,270,3,1,2,2,0.9740740740740741,0.8991879999999999,0.898663,0.00032100000000023776,56122470.0
hybrid,strong,1.0,1437,360,3,1,2,2,0.9861111111111112,1.51425,1.512978,0.0009779999999997013,99842760.0
hybrid,strong,0.25,359,90,3,2,2,4,0.9222222222222223,0.06856899999999999,0.068017,0.0012689999999999646,6235830.0
hybrid,strong,0.5,718,180,3,2,2,4,0.9666666666666667,0.19008400000000014,0.18959900000000007,0.0006710000000000882,24943320.0
hybrid,strong,0.75,1077,270,3,2,2,4,0.9740740740740741,0.40356400000000003,0.40215500000000004,0.0015079999999998428,56122470.0
hybrid,strong,1.0,1437,360,3,2,2,4,0.9861111111111112,0.691735,0.689829,0.0067270000000001495,99842760.0
hybrid,strong,0.25,359,90,3,4,2,8,0.9222222222222223,0.060778,0.06025499999999995,0.006089999999999929,6235830.0
hybrid,strong,0.5,718,180,3,4,2,8,0.9666666666666667,0.1406210000000001,0.1393089999999999,0.015434000000000059,24943320.0
hybrid,strong,0.75,1077,270,3,4,2,8,0.9740740740740741,0.27149900000000005,0.26983500000000005,0.0052230000000002,56122470.0
hybrid,strong,1.0,1437,360,3,4,2,8,0.9861111111111112,0.48212900000000003,0.47999800000000015,0.013205000000000133,99842760.0
