version,scaling,frac,n_train,n_test,k,p,threads,workers,accuracy,t_total,t_compute,t_comm,flops
mpi,strong,0.25,359,90,3,1,1,1,0.9333333333333333,0.0883557000051951,0.08697469998151064,0.0013186000287532806,6235830.0
mpi,strong,0.5,718,180,3,1,1,1,0.9666666666666667,0.3509155999927316,0.34762179997051135,0.0018023000739049166,24943320.0
mpi,strong,0.75,1077,270,3,1,1,1,0.9740740740740741,0.7962735000037355,0.7900304998183856,0.003541199868777767,56122470.0
mpi,strong,1.0,1437,360,3,1,1,1,0.9861111111111112,1.4118653000041377,1.4024295998679008,0.0051568000635597855,99842760.0
mpi,strong,0.25,359,90,3,2,1,2,0.9222222222222223,0.06528410001192242,0.06342779997794423,0.0016074000159278512,6235830.0
mpi,strong,0.5,718,180,3,2,1,2,0.9666666666666667,0.23797930000000633,0.23367729983874597,0.0036618002195609733,24943320.0
mpi,strong,0.75,1077,270,3,2,1,2,0.9740740740740741,0.5794904000067618,0.5734498000820167,0.0060405998810892925,56122470.0
mpi,strong,1.0,1437,360,3,2,1,2,0.9861111111111112,0.8942139999999199,0.8839193001185777,0.006125299871200696,99842760.0
mpi,strong,0.25,359,90,3,4,1,4,0.9222222222222223,0.039588300001923926,0.0372546000580769,0.013722799951210618,6235830.0
mpi,strong,0.5,718,180,3,4,1,4,0.9666666666666667,0.12804690000484698,0.1208718000270892,0.012684799890848808,24943320.0
mpi,strong,0.75,1077,270,3,4,1,4,0.9740740740740741,0.3084935999941081,0.29697409993968904,0.06781619985122234,56122470.0
mpi,strong,1.0,1437,360,3,4,1,4,0.9861111111111112,0.610297699997318,0.5391706002410501,0.07779250020394102,99842760.0
mpi,strong,0.25,359,90,3,8,1,8,0.9222222222222223,0.025295199986430816,0.02198029997816775,0.004942499988828786,6235830.0
mpi,strong,0.5,718,180,3,8,1,8,0.9666666666666667,0.08721549999609124,0.08427160010614898,0.027163499777088873,24943320.0
mpi,strong,0.75,1077,270,3,8,1,8,0.9740740740740741,0.18738080000912305,0.17427449983370025,0.04610250009864103,56122470.0
mpi,strong,1.0,1437,360,3,8,1,8,0.9861111111111112,0.33083190000616014,0.32371789998433087,0.03229979991738219,99842760.0
mpi,strong,0.25,359,90,3,16,1,16,0.9222222222222223,0.02785769999900367,0.014176299911923707,0.11667509995459113,6235830.0
mpi,strong,0.5,718,180,3,16,1,16,0.9666666666666667,0.10320849998970516,0.07533340001828037,0.05483960015408229,24943320.0
mpi,strong,0.75,1077,270,3,16,1,16,0.9740740740740741,0.19531179999466985,0.15118790001724847,0.1109523000777699,56122470.0
mpi,strong,1.0,1437,360,3,16,1,16,0.9861111111111112,0.2498282000015024,0.20977709999715444,0.03949100001773331,99842760.0
