version,scaling,frac,n_train,n_test,k,p,threads,workers,accuracy,t_total,t_compute,t_comm,flops
omp,strong,0.25,359,90,3,1,1,1,0.9333333333333333,0.039258374948985875,0.039258374948985875,0.0,6235830.0
omp,strong,0.5,718,180,3,1,1,1,0.9666666666666667,0.15486987499753013,0.15486987499753013,0.0,24943320.0
omp,strong,0.75,1077,270,3,1,1,1,0.9740740740740741,0.3480008749756962,0.3480008749756962,0.0,56122470.0
omp,strong,1.0,1437,360,3,1,1,1,0.9861111111111112,0.619372624962125,0.619372624962125,0.0,99842760.0
omp,strong,0.25,359,90,3,1,2,2,0.9333333333333333,0.11779445904539898,0.11779445904539898,0.0,6235830.0
omp,strong,0.5,718,180,3,1,2,2,0.9666666666666667,0.40900262497598305,0.40900262497598305,0.0,24943320.0
omp,strong,0.75,1077,270,3,1,2,2,0.9740740740740741,0.910799584002234,0.910799584002234,0.0,56122470.0
omp,strong,1.0,1437,360,3,1,2,2,0.9861111111111112,1.6047283340012655,1.6047283340012655,0.0,99842760.0
omp,strong,0.25,359,90,3,1,4,4,0.9333333333333333,0.1373310839990154,0.1373310839990154,0.0,6235830.0
omp,strong,0.5,718,180,3,1,4,4,0.9666666666666667,0.5261885829968378,0.5261885829968378,0.0,24943320.0
omp,strong,0.75,1077,270,3,1,4,4,0.9740740740740741,1.2187054579844698,1.2187054579844698,0.0,56122470.0
omp,strong,1.0,1437,360,3,1,4,4,0.9861111111111112,2.141528832959011,2.141528832959011,0.0,99842760.0
omp,strong,0.25,359,90,3,1,8,8,0.9333333333333333,0.15225912496680394,0.15225912496680394,0.0,6235830.0
omp,strong,0.5,718,180,3,1,8,8,0.9666666666666667,0.5604299170081504,0.5604299170081504,0.0,24943320.0
omp,strong,0.75,1077,270,3,1,8,8,0.9740740740740741,1.251563666970469,1.251563666970469,0.0,56122470.0
omp,strong,1.0,1437,360,3,1,8,8,0.9861111111111112,2.205447665997781,2.205447665997781,0.0,99842760.0
omp,strong,0.25,359,90,3,1,16,16,0.9333333333333333,0.14278041600482538,0.14278041600482538,0.0,6235830.0
omp,strong,0.5,718,180,3,1,16,16,0.9666666666666667,0.552840041986201,0.552840041986201,0.0,24943320.0
omp,strong,0.75,1077,270,3,1,16,16,0.9740740740740741,1.2450228750240058,1.2450228750240058,0.0,56122470.0
omp,strong,1.0,1437,360,3,1,16,16,0.9861111111111112,2.2007444169721566,2.2007444169721566,0.0,99842760.0
