version,scaling,frac,n_train,n_test,k,p,threads,workers,accuracy,t_total,t_compute,t_comm,flops
hybrid,strong,0.25,359,90,3,1,1,1,0.9333333333333333,0.09357720000843983,0.0931272000016179,0.00030109999352134764,6235830.0
hybrid,strong,0.5,718,180,3,1,1,1,0.9666666666666667,0.35274080000817776,0.3520569999964209,0.0005909000028623268,24943320.0
hybrid,strong,0.75,1077,270,3,1,1,1,0.9740740740740741,0.7990149999968708,0.7975554000004195,0.0011434999905759469,56122470.0
hybrid,strong,1.0,1437,360,3,1,1,1,0.9861111111111112,1.3992503000044962,1.3979235000006156,0.0009302000107709318,99842760.0
hybrid,strong,0.25,359,90,3,1,2,2,0.9333333333333333,0.17493399999511894,0.17408579999755602,0.0005241000035312027,6235830.0
hybrid,strong,0.5,718,180,3,1,2,2,0.9666666666666667,0.5891517999989446,0.5874652000056813,0.0014394000172615051,24943320.0
hybrid,strong,0.75,1077,270,3,1,2,2,0.9740740740740741,1.298401099993498,1.297361400007503,0.0008185999904526398,56122470.0
hybrid,strong,1.0,1437,360,3,1,2,2,0.9861111111111112,2.1262645999959204,2.1248235999955796,0.0010550000006332994,99842760.0
hybrid,strong,0.25,359,90,3,2,2,4,0.9222222222222223,0.134738999986439,0.13406089998898096,0.0006378999969456345,6235830.0
hybrid,strong,0.5,718,180,3,2,2,4,0.9666666666666667,0.5538365999964299,0.5528856000019005,0.0007290000066859648,24943320.0
hybrid,strong,0.75,1077,270,3,2,2,4,0.9740740740740741,1.2982168000016827,1.2963019000017084,0.00662949999968987,56122470.0
hybrid,strong,1.0,1437,360,3,2,2,4,0.9861111111111112,2.3980692000041017,2.395511800001259,0.0022438000014517456,99842760.0
hybrid,strong,0.25,359,90,3,2,4,8,0.9222222222222223,0.21578280000539962,0.21519279999483842,0.0006775999936508015,6235830.0
hybrid,strong,0.5,718,180,3,2,4,8,0.9666666666666667,0.7172539000021061,0.7163498000008985,0.0018965000053867698,24943320.0
hybrid,strong,0.75,1077,270,3,2,4,8,0.9740740740740741,1.7409617999946931,1.7385959000093862,0.001895900015369989,56122470.0
hybrid,strong,1.0,1437,360,3,2,4,8,0.9861111111111112,2.873631499998737,2.8714698999974644,0.013622400001622736,99842760.0
hybrid,strong,0.25,359,90,3,4,4,16,0.9222222222222223,0.1244392000080552,0.12286180000228342,0.0025414999981876463,6235830.0
hybrid,strong,0.5,718,180,3,4,4,16,0.9666666666666667,0.4370106999995187,0.43581260000064503,0.007416399996145628,24943320.0
hybrid,strong,0.75,1077,270,3,4,4,16,0.9740740740740741,1.0242302999977255,1.0220178000017768,0.012327100004767999,56122470.0
hybrid,strong,1.0,1437,360,3,4,4,16,0.9861111111111112,1.7976084999972954,1.7949421999946935,0.016514599992660806,99842760.0
hybrid,strong,0.25,359,90,3,2,8,16,0.9222222222222223,0.21243610000237823,0.2111638999922434,0.0012932999961776659,6235830.0
hybrid,strong,0.5,718,180,3,2,8,16,0.9666666666666667,0.7533955999970203,0.7524755000049481,0.002056200013612397,24943320.0
hybrid,strong,0.75,1077,270,3,2,8,16,0.9740740740740741,1.653651800006628,1.6521136999945156,0.02486269999644719,56122470.0
hybrid,strong,1.0,1437,360,3,2,8,16,0.9861111111111112,3.0981571999873267,3.0961001999967266,0.023225199998705648,99842760.0
hybrid,strong,0.25,359,90,3,8,2,16,0.9222222222222223,0.0649011000059545,0.06314559999736957,0.0048467000015079975,6235830.0
hybrid,strong,0.5,718,180,3,8,2,16,0.9666666666666667,0.21942269999999553,0.21766290000232402,0.011564500004169531,24943320.0
hybrid,strong,0.75,1077,270,3,8,2,16,0.9740740740740741,0.4157868000038434,0.4130657999921823,0.00518259999807924,56122470.0
hybrid,strong,1.0,1437,360,3,8,2,16,0.9861111111111112,0.8469437000021571,0.8426314999960596,0.011899100005393848,99842760.0
